,AvgNetFare
2018-04-01,4276.3
2018-04-02,4197.466666666666
2018-04-03,4163.578125
2018-04-04,4112.8125
2018-04-05,3977.666666666666
2018-04-06,4568.9629629629635
2018-04-07,4237.734375
2018-04-08,4860.208333333333
2018-04-09,4394.438596491228
2018-04-10,4626.021276595745
2018-04-11,4534.428571428572
2018-04-12,4014.31884057971
2018-04-13,4379.62
2018-04-14,4434.833333333333
2018-04-15,3778.125
2018-04-16,4447.2089552238795
2018-04-17,4703.1475409836075
2018-04-18,4310.459016393443
2018-04-19,4340.921568627451
2018-04-20,4704.0
2018-04-21,4492.044444444446
2018-04-22,4110.4375
2018-04-23,4257.9047619047615
2018-04-24,4633.023529411765
2018-04-25,4703.1
2018-04-26,4847.309523809524
2018-04-27,4712.4324324324325
2018-04-28,5164.153846153846
2018-04-29,3990.3684210526317
2018-04-30,4940.8
2018-05-01,4235.0
2018-05-02,4961.020408163266
2018-05-03,4709.757575757576
2018-05-04,4744.135135135135
2018-05-05,4525.885714285714
2018-05-06,4171.96875
2018-05-07,3890.480769230769
2018-05-08,4520.573033707865
2018-05-09,4520.959183673469
2018-05-10,4339.714285714285
2018-05-11,3935.8243243243237
2018-05-12,4749.466666666666
2018-05-13,3930.791666666666
2018-05-14,4310.7241379310335
2018-05-15,4070.671428571429
2018-05-16,4892.76
2018-05-17,4784.594594594595
2018-05-18,4610.013513513513
2018-05-19,5253.862068965517
2018-05-20,4361.92
2018-05-21,4365.3859649122805
2018-05-22,4442.630769230769
2018-05-23,4164.689655172414
2018-05-24,4292.297872340426
2018-05-25,4430.777777777777
2018-05-26,4162.714285714285
2018-05-27,3635.666666666666
2018-05-28,3975.482456140351
2018-05-29,4149.630952380952
2018-05-30,4221.184782608696
2018-05-31,3899.057553956835
2018-06-01,4323.83870967742
2018-06-02,4871.88888888889
2018-06-03,3942.709677419354
2018-06-04,4259.797619047619
2018-06-05,4991.472222222223
2018-06-06,4754.090909090909
2018-06-07,4268.1587301587315
2018-06-08,4743.471698113208
2018-06-09,4699.531914893617
2018-06-10,3701.25
2018-06-11,4980.210526315789
2018-06-12,4663.857142857143
2018-06-13,4618.904761904762
2018-06-14,4644.066666666667
2018-06-15,4248.391891891892
2018-06-16,4490.2307692307695
2018-06-17,4241.681818181818
2018-06-18,4338.7317073170725
2018-06-19,4125.494736842105
2018-06-20,3818.380165289256
2018-06-21,4154.521739130435
2018-06-22,3780.1551724137926
2018-06-23,4040.1
2018-06-24,4377.75
2018-06-25,3807.877192982456
2018-06-26,3653.607692307692
2018-06-27,4020.967741935484
2018-06-28,3981.216981132076
2018-06-29,4163.496240601504
2018-06-30,3561.357142857143
2018-07-01,3392.4423076923076
2018-07-02,4042.2828282828277
2018-07-03,4018.514492753623
2018-07-04,3875.674796747967
2018-07-05,4027.89898989899
2018-07-06,3949.234042553192
2018-07-07,3718.5811965811968
2018-07-08,4226.894736842105
2018-07-09,3852.607142857143
2018-07-10,4017.6120689655168
2018-07-11,4166.294964028777
2018-07-12,3703.1160714285716
2018-07-13,4037.8363636363642
2018-07-14,4167.381215469613
2018-07-15,4214.0204081632655
2018-07-16,3896.149068322981
2018-07-17,3503.1286549707597
2018-07-18,3862.633879781421
2018-07-19,3800.89375
2018-07-20,3685.261363636364
2018-07-21,3497.956790123457
2018-07-22,3192.625
2018-07-23,3686.076576576576
2018-07-24,3848.186666666666
2018-07-25,3476.670212765957
2018-07-26,3565.831896551724
2018-07-27,3788.642172523962
2018-07-28,3947.7611940298507
2018-07-29,3319.25
2018-07-30,3920.149779735683
2018-07-31,2016.0
2018-08-01,4050.176029962546
2018-08-02,3758.539419087137
2018-08-03,4440.957627118643
2018-08-04,4005.264
2018-08-05,3754.944444444444
2018-08-06,4083.2606382978715
2018-08-07,3877.90612244898
2018-08-08,4001.615384615385
2018-08-09,4142.601626016261
2018-08-10,4143.5772727272715
2018-08-11,4417.404040404042
2018-08-12,4281.894736842105
2018-08-13,4300.510822510822
2018-08-14,4246.677130044844
2018-08-15,4235.641791044776
2018-08-16,4051.932270916335
2018-08-17,4149.64
2018-08-18,3736.333333333334
2018-08-19,3524.873684210527
2018-08-20,4341.721590909091
2018-08-21,4341.721590909091
2018-08-22,4341.721590909091
2018-08-23,4341.721590909091
2018-08-24,4341.721590909091
2018-08-25,4341.721590909091
2018-08-26,4341.721590909091
2018-08-27,4341.721590909091
2018-08-28,4341.721590909091
2018-08-29,4341.721590909091
2018-08-30,4341.721590909091
2018-08-31,4341.721590909091
2018-09-01,3998.893023255814
2018-09-02,3691.7537313432845
2018-09-03,3800.047272727273
2018-09-04,3838.249097472925
2018-09-05,3648.7570093457934
2018-09-06,3979.590405904059
2018-09-07,3694.25
2018-09-08,3749.197478991597
2018-09-09,4130.269662921349
2018-09-10,3769.139194139194
2018-09-11,3534.194202898551
2018-09-12,3570.715827338129
2018-09-13,3525.214285714286
2018-09-14,3443.5441176470586
2018-09-15,3585.7359307359307
2018-09-16,3733.6716417910447
2018-09-17,3746.22
2018-09-18,3884.2383720930243
2018-09-19,3763.909547738693
2018-09-20,4039.3146417445478
2018-09-21,3726.626404494382
2018-09-22,3528.520930232558
2018-09-23,3130.698795180723
2018-09-24,3780.2966751918157
2018-09-25,3848.4370370370366
2018-09-26,3868.625899280576
2018-09-27,3741.9905660377362
2018-09-28,3595.602409638554
2018-09-29,3792.1977186311788
2018-09-30,3544.2752808988757
2018-10-01,3815.5360230547553
2018-10-02,3737.8661710037177
2018-10-03,3784.616747181965
2018-10-04,3838.132075471698
2018-10-05,3768.9667519181594
2018-10-06,3905.2519379844957
2018-10-07,3977.742647058824
2018-10-08,3910.632911392405
2018-10-09,3939.966145833334
2018-10-10,3891.706586826347
