,Dates,AvgPred
0,2018-04-01,14641.799827414914
1,2018-04-02,15728.806115184243
2,2018-04-03,15820.093173193141
3,2018-04-04,15353.717533999103
4,2018-04-05,15169.280921659758
5,2018-04-06,14687.176556145796
6,2018-04-07,14972.107774771479
7,2018-04-08,14583.49644840391
8,2018-04-09,15666.138648349612
9,2018-04-10,15757.026099658615
10,2018-04-11,15292.474797081122
11,2018-04-12,15108.739365229043
12,2018-04-13,14628.525668717357
13,2018-04-14,14912.284932590339
14,2018-04-15,14525.193069392742
15,2018-04-16,15603.471181519326
16,2018-04-17,15693.959026121973
17,2018-04-18,15231.23206016315
18,2018-04-19,15048.197808796858
19,2018-04-20,14569.874781287492
20,2018-04-21,14852.462090408495
21,2018-04-22,14466.889690382537
22,2018-04-23,15540.803714687587
23,2018-04-24,15630.891952589252
24,2018-04-25,15169.989323248165
25,2018-04-26,14987.65625236793
26,2018-04-27,14511.223893859042
27,2018-04-28,14792.63924822665
28,2018-04-29,14408.586311372326
29,2018-04-30,15478.136247857281
30,2018-05-01,15567.824879052916
31,2018-05-02,15108.746586330195
32,2018-05-03,14927.11469593575
33,2018-05-04,14452.573006429773
34,2018-05-05,14732.816406044805
35,2018-05-06,14350.282932360375
36,2018-05-07,15415.468781022691
37,2018-05-08,15504.75780551629
38,2018-05-09,15047.50384941223
39,2018-05-10,14866.573139505035
40,2018-05-11,14393.92211900097
41,2018-05-12,14672.993563863303
42,2018-05-13,14291.97955335095
43,2018-05-14,15352.80131419238
44,2018-05-15,15441.690731983248
45,2018-05-16,14986.261112494274
46,2018-05-17,14806.031583073187
47,2018-05-18,14335.271231571702
48,2018-05-19,14613.170721681445
49,2018-05-20,14233.676174339953
50,2018-05-21,15290.133847360632
51,2018-05-22,15378.623658446928
52,2018-05-23,14925.018375579253
53,2018-05-24,14745.490026643907
54,2018-05-25,14276.620344143243
55,2018-05-26,14553.34787949962
56,2018-05-27,14175.372795329733
57,2018-05-28,15227.466380526095
58,2018-05-29,15315.556584912092
59,2018-05-30,14863.775638659517
60,2018-05-31,14684.948470211752
61,2018-06-01,14217.969456713172
62,2018-06-02,14493.525037318115
63,2018-06-03,14117.069416317798
64,2018-06-04,15164.79891369436
65,2018-06-05,15252.489511375488
66,2018-06-06,14802.532901743347
67,2018-06-07,14624.40691378166
68,2018-06-08,14159.318569284942
69,2018-06-09,14433.702195136273
70,2018-06-10,14058.766037308347
71,2018-06-11,15102.131446864021
72,2018-06-12,15189.422437842417
73,2018-06-13,14741.290164828302
74,2018-06-14,14563.865357350938
75,2018-06-15,14100.667681855677
76,2018-06-16,14373.879352954435
77,2018-06-17,14000.46265829735
78,2018-06-18,15039.4639800295
79,2018-06-19,15126.355364306117
80,2018-06-20,14680.047427908596
81,2018-06-21,14503.32380092021
82,2018-06-22,14042.016794427209
83,2018-06-23,14314.056510772596
84,2018-06-24,13942.159279284508
85,2018-06-25,14976.796513199157
86,2018-06-26,15063.28829077128
87,2018-06-27,14618.80469099241
88,2018-06-28,14442.782244488071
89,2018-06-29,13983.365906997382
90,2018-06-30,14254.233668591083
91,2018-07-01,13883.855900275048
92,2018-07-02,14914.129046367412
93,2018-07-03,15000.22121723644
94,2018-07-04,14557.561954074476
95,2018-07-05,14382.240688059062
96,2018-07-06,13924.715019568914
97,2018-07-07,14194.410826409268
98,2018-07-08,13825.552521264059
99,2018-07-09,14851.461579537048
100,2018-07-10,14937.154143701882
101,2018-07-11,14496.31921716051
102,2018-07-12,14321.69913162693
103,2018-07-13,13866.064132139654
104,2018-07-14,14134.587984227413
105,2018-07-15,13767.249142252911
106,2018-07-16,14788.794112702566
107,2018-07-17,14874.087070165313
108,2018-07-18,14435.076480240843
109,2018-07-19,14261.157575194813
110,2018-07-20,13807.4132447104
111,2018-07-21,14074.765142046255
112,2018-07-22,13708.945763242682
113,2018-07-23,14726.126645872188
114,2018-07-24,14811.019996632187
115,2018-07-25,14373.833743324642
116,2018-07-26,14200.616018764395
117,2018-07-27,13748.762357281366
118,2018-07-28,14014.942299864404
119,2018-07-29,13650.642384232446
120,2018-07-30,14663.459179041802
121,2018-07-31,14747.952923095632
122,2018-08-01,14312.591006407818
123,2018-08-02,14140.074462333667
124,2018-08-03,13690.111469852887
125,2018-08-04,13955.11945768258
126,2018-08-05,13592.33900522146
127,2018-08-06,14600.791712207352
128,2018-08-07,14684.88584956135
129,2018-08-08,14251.348269489892
130,2018-08-09,14079.532905902935
131,2018-08-10,13631.46058242286
132,2018-08-11,13895.296615501067
133,2018-08-12,13534.035626211062
134,2018-08-13,14538.124245376956
135,2018-08-14,14621.818776024806
136,2018-08-15,14190.105532571977
137,2018-08-16,14018.991349470838
138,2018-08-17,13572.809694994601
139,2018-08-18,13835.47377331923
140,2018-08-19,13475.732247200078
141,2018-08-20,14475.4567785452
142,2018-08-21,14558.751702491641
143,2018-08-22,14128.862795656845
144,2018-08-23,13958.449793041775
145,2018-08-24,13514.158807566333
146,2018-08-25,13775.650931137396
147,2018-08-26,13417.428868189836
148,2018-08-27,14412.789311713443
149,2018-08-28,14495.684628955389
150,2018-08-29,14067.620058737246
151,2018-08-30,13897.908236609685
152,2018-08-31,13455.507920137079
153,2018-09-01,13715.828088955563
154,2018-09-02,13359.125489177968
155,2018-09-03,14350.121844879059
156,2018-09-04,14432.617555418867
157,2018-09-05,14006.377321821023
158,2018-09-06,13837.366680178951
159,2018-09-07,13396.857032708045
160,2018-09-08,13656.005246774044
161,2018-09-09,13300.822110168445
162,2018-09-10,14287.45437804864
163,2018-09-11,14369.550481885683
164,2018-09-12,13945.134584903122
165,2018-09-13,13776.825123748515
166,2018-09-14,13338.206145278797
167,2018-09-15,13596.182404592226
168,2018-09-16,13242.51873115747
169,2018-09-17,14224.786911216883
170,2018-09-18,14306.483408349444
171,2018-09-19,13883.891847987956
172,2018-09-20,13716.283567318073
173,2018-09-21,13279.555257850301
174,2018-09-22,13536.359562410378
175,2018-09-23,13184.215352147212
176,2018-09-24,14162.11944438383
177,2018-09-25,14243.41633481459
178,2018-09-26,13822.649111068404
179,2018-09-27,13655.742010885999
180,2018-09-28,13220.904370420303
181,2018-09-29,13476.536720228858
182,2018-09-30,13125.911973136079
183,2018-10-01,14099.451977552078
184,2018-10-02,14180.349261279734
185,2018-10-03,13761.406374152166
186,2018-10-04,13595.200454455557
187,2018-10-05,13162.25348299202
188,2018-10-06,13416.713878047025
189,2018-10-07,13067.608594124953
190,2018-10-08,14036.784510721627
191,2018-10-09,14117.282187744877
192,2018-10-10,13700.16363723697
193,2018-10-11,13534.65889802482
194,2018-10-12,13103.602595562774
195,2018-10-13,13356.891035865196
196,2018-10-14,13009.30521511398
197,2018-10-15,13974.117043887289
198,2018-10-16,14054.215114208659
199,2018-10-17,13638.920900318497
200,2018-10-18,13474.117341594078
201,2018-10-19,13044.95170813353
202,2018-10-20,13297.068193683368
203,2018-10-21,12951.001836103564
204,2018-10-22,13911.44957705683
205,2018-10-23,13991.148040673805
206,2018-10-24,13577.678163402237
207,2018-10-25,13413.575785162027
208,2018-10-26,12986.3008207045
209,2018-10-27,13237.245351501844
210,2018-10-28,12892.698457092594
211,2018-10-29,13848.78211022507
212,2018-10-30,13928.080967138943
213,2018-10-31,13516.435426485394
214,2018-11-01,13353.034228732882
215,2018-11-02,12927.649933275992
216,2018-11-03,13177.422509320348
217,2018-11-04,12834.395078081627
218,2018-11-05,13786.11464339331
219,2018-11-06,13865.013893604348
220,2018-11-07,13455.192689567515
221,2018-11-08,13292.492672300838
222,2018-11-09,12868.999045846751
223,2018-11-10,13117.599667138504
224,2018-11-11,12776.091699070512
225,2018-11-12,13723.447176560292
226,2018-11-13,13801.946820067886
227,2018-11-14,13393.94995264964
228,2018-11-15,13231.951115868806
229,2018-11-16,12810.348158417513
230,2018-11-17,13057.776824956989
231,2018-11-18,12717.788320060241
232,2018-11-19,13660.779709729806
233,2018-11-20,13738.879746534876
234,2018-11-21,13332.70721573337
235,2018-11-22,13171.409559439633
236,2018-11-23,12751.697270988483
237,2018-11-24,12997.953982775161
238,2018-11-25,12659.48494104997
239,2018-11-26,13598.112242899302
240,2018-11-27,13675.812672998683
241,2018-11-28,13271.464478816524
242,2018-11-29,13110.868003007607
243,2018-11-30,12693.046383560171
244,2018-12-01,12938.131140593334
245,2018-12-02,12601.181562039004
246,2018-12-03,13535.444776065033
247,2018-12-04,13612.745599463819
248,2018-12-05,13210.221741898657
249,2018-12-06,13050.326446576864
250,2018-12-07,12634.39549613022
251,2018-12-08,12878.308298411805
252,2018-12-09,12542.878183028579
253,2018-12-10,13472.777309234525
254,2018-12-11,13549.678525928946
255,2018-12-12,13148.9790049808
256,2018-12-13,12989.78489014612
257,2018-12-14,12575.744608701903
258,2018-12-15,12818.485456229977
259,2018-12-16,12484.574804017617
260,2018-12-17,13410.109842401525
261,2018-12-18,13486.611452394072
262,2018-12-19,13087.736268065519
263,2018-12-20,12929.243333715649
264,2018-12-21,12517.093721273379
265,2018-12-22,12758.662614048151
266,2018-12-23,12426.271425007335
267,2018-12-24,13347.442375568537
268,2018-12-25,13423.544378857903
269,2018-12-26,13026.493531146101
270,2018-12-27,12868.701777283646
271,2018-12-28,12458.44283384344
272,2018-12-29,12698.839771866327
273,2018-12-30,12367.968045996226
274,2018-12-31,13284.77490873678
275,2019-01-01,13360.477305321485
276,2019-01-02,12965.25079422981
277,2019-01-03,12808.160220853177
278,2019-01-04,12399.791946415115
279,2019-01-05,12639.016929684793
280,2019-01-06,12309.664666985938
281,2019-01-07,13222.107441906244
282,2019-01-08,13297.410231788157
283,2019-01-09,12904.008057311969
284,2019-01-10,12747.618664422698
285,2019-01-11,12341.141058985882
286,2019-01-12,12579.194087502983
287,2019-01-13,12251.361287974165
288,2019-01-14,13159.43997507325
289,2019-01-15,13234.343158252002
290,2019-01-16,12842.765320395116
291,2019-01-17,12687.077107991949
292,2019-01-18,12282.490171557349
293,2019-01-19,12519.371245321146
294,2019-01-20,12193.057908963065
295,2019-01-21,13096.772508241504
296,2019-01-22,13171.276084717128
297,2019-01-23,12781.522583477283
298,2019-01-24,12626.535551559964
299,2019-01-25,12223.839284127427
300,2019-01-26,12459.54840313961
301,2019-01-27,12134.754529952777
302,2019-01-28,13034.105041409737
303,2019-01-29,13108.209011182254
304,2019-01-30,12720.279846561954
305,2019-01-31,12565.993995130715
306,2019-02-01,12165.188396699086
307,2019-02-02,12399.725560957802
308,2019-02-03,12076.451150942485
309,2019-02-04,12971.437574579175
310,2019-02-05,13045.141937647375
311,2019-02-06,12659.037109646606
312,2019-02-07,12505.452438698732
313,2019-02-08,12106.53750926986
314,2019-02-09,12339.902718775968
315,2019-02-10,12018.147771931528
316,2019-02-11,12908.770107745015
317,2019-02-12,12982.07486411124
318,2019-02-13,12597.794372727261
319,2019-02-14,12444.910882267981
320,2019-02-15,12047.886621840635
321,2019-02-16,12280.079876594738
322,2019-02-17,11959.84439292109
323,2019-02-18,12846.102640914442
324,2019-02-19,12919.007790577862
325,2019-02-20,12536.551635810938
326,2019-02-21,12384.369325837228
327,2019-02-22,11989.235734411606
328,2019-02-23,12220.257034412904
